Rank,State,County,Republican Turnout,,"Rep Turnout Increase 
(2020-2016)","Republican
Votes 2020",Voting Age Pop 2020,,
,Wisconsin,POLK COUNTY,40.7%,47.7%,7.0%," 16,590 "," 34,771 ",,
,Florida,LEVY COUNTY,43.1%,50.1%,7.0%," 16,749 "," 33,437 ",,
,Georgia,CATOOSA COUNTY,41.1%,48.1%,7.0%," 25,167 "," 52,313 ",,
,Michigan,CHEBOYGAN COUNTY,41.1%,48.1%,7.0%," 10,186 "," 21,172 ",,
,Pennsylvania,LYCOMING COUNTY,39.0%,46.0%,6.9%," 41,462 "," 90,166 ",,
,Ohio,CARROLL COUNTY,42.5%,49.4%,6.9%," 10,525 "," 21,293 ",,
,Michigan,ROSCOMMON COUNTY,40.3%,47.2%,6.9%," 9,670 "," 20,473 ",,
,Pennsylvania,SNYDER COUNTY,36.8%,43.7%,6.9%," 13,983 "," 32,022 ",,
,Michigan,OTSEGO COUNTY,43.1%,50.0%,6.9%," 9,779 "," 19,545 ",,
,Wisconsin,IRON COUNTY,43.6%,50.5%,6.9%," 2,439 "," 4,831 ",,
,Arizona,PINAL COUNTY,22.8%,29.7%,6.9%," 107,077 "," 360,425 ",,
,Michigan,IOSCO COUNTY,39.7%,46.6%,6.9%," 9,759 "," 20,954 ",,
,North Carolina,CAMDEN COUNTY,44.4%,51.3%,6.8%," 4,312 "," 8,407 ",,
,Pennsylvania,PERRY COUNTY,43.4%,50.2%,6.8%," 18,293 "," 36,410 ",,
,Georgia,ATKINSON COUNTY,31.3%,38.2%,6.8%," 2,300 "," 6,025 ",,
,Michigan,ALCONA COUNTY,46.5%,53.3%,6.8%," 4,848 "," 9,092 ",,
,Pennsylvania,SOMERSET COUNTY,44.7%,51.5%,6.8%," 31,105 "," 60,412 ",,
,Georgia,CARROLL COUNTY,34.1%,40.9%,6.8%," 37,476 "," 91,687 ",,
,Pennsylvania,LAWRENCE COUNTY,36.4%,43.2%,6.8%," 29,597 "," 68,515 ",,
,Wisconsin,WASHINGTON COUNTY,49.7%,56.5%,6.8%," 60,235 "," 106,599 ",,
,Georgia,WALKER COUNTY,35.5%,42.3%,6.8%," 23,174 "," 54,746 ",,
,Pennsylvania,GREENE COUNTY,36.3%,43.0%,6.8%," 12,578 "," 29,220 ",,
,Pennsylvania,BLAIR COUNTY,39.8%,46.6%,6.8%," 45,306 "," 97,209 ",,
,Wisconsin,ST. CROIX COUNTY,40.2%,47.0%,6.8%," 32,190 "," 68,499 ",,
,Wisconsin,WAUPACA COUNTY,39.8%,46.6%,6.8%," 18,948 "," 40,690 ",,
,Michigan,KALKASKA COUNTY,45.1%,51.8%,6.8%," 7,436 "," 14,343 ",,
,Michigan,MASON COUNTY,37.2%,43.9%,6.8%," 10,207 "," 23,240 ",,
,Wisconsin,WASHBURN COUNTY,42.9%,49.6%,6.7%," 6,332 "," 12,758 ",,
,Wisconsin,MARINETTE COUNTY,40.0%,46.7%,6.7%," 15,303 "," 32,737 ",,
,Georgia,WHITE COUNTY,42.6%,49.4%,6.7%," 12,222 "," 24,763 ",,
,North Carolina,DARE COUNTY,39.6%,46.3%,6.7%," 13,938 "," 30,088 ",,
,North Carolina,WILKES COUNTY,43.8%,50.5%,6.7%," 27,592 "," 54,628 ",,
,Georgia,SCHLEY COUNTY,38.3%,45.0%,6.7%," 1,800 "," 4,003 ",,
,Wisconsin,FOREST COUNTY,38.8%,45.5%,6.7%," 3,287 "," 7,230 ",,
,Georgia,JONES COUNTY,38.2%,44.9%,6.7%," 9,965 "," 22,203 ",,
,Pennsylvania,SUSQUEHANNA COUNTY,38.6%,45.2%,6.7%," 14,879 "," 32,891 ",,
,Pennsylvania,CAMBRIA COUNTY,39.0%,45.7%,6.7%," 48,085 "," 105,298 ",,
,Florida,FLAGLER COUNTY,38.2%,44.9%,6.7%," 43,043 "," 95,954 ",,
,North Carolina,MITCHELL COUNTY,51.4%,58.0%,6.6%," 7,090 "," 12,229 ",,
,Pennsylvania,ADAMS COUNTY,38.8%,45.4%,6.6%," 37,523 "," 82,612 ",,
,North Carolina,DAVIDSON COUNTY,42.6%,49.3%,6.6%," 64,658 "," 131,285 ",,
,Georgia,EMANUEL COUNTY,31.9%,38.5%,6.6%," 6,551 "," 17,032 ",,
,Pennsylvania,HUNTINGDON COUNTY,39.2%,45.8%,6.6%," 17,061 "," 37,218 ",,
,Georgia,BUTTS COUNTY,35.8%,42.4%,6.6%," 8,406 "," 19,833 ",,
,Michigan,ST. JOSEPH COUNTY,32.6%,39.2%,6.6%," 18,127 "," 46,253 ",,
,Michigan,ALLEGAN COUNTY,39.4%,46.0%,6.6%," 41,392 "," 89,983 ",,
,Michigan,MANISTEE COUNTY,34.3%,40.9%,6.6%," 8,321 "," 20,341 ",,
,Pennsylvania,JUNIATA COUNTY,43.6%,50.2%,6.6%," 9,649 "," 19,221 ",,
,Wisconsin,MARQUETTE COUNTY,38.9%,45.5%,6.6%," 5,719 "," 12,577 ",,
,Georgia,WALTON COUNTY,46.4%,52.9%,6.5%," 37,842 "," 71,492 ",,
,Arizona,SANTA CRUZ COUNTY,11.6%,18.2%,6.5%," 6,194 "," 34,123 ",,
,Wisconsin,TREMPEALEAU COUNTY,33.2%,39.7%,6.5%," 8,828 "," 22,212 ",,
,North Carolina,ALLEGHANY COUNTY,42.4%,48.9%,6.5%," 4,527 "," 9,249 ",,
,Michigan,GRATIOT COUNTY,30.3%,36.8%,6.5%," 12,102 "," 32,861 ",,
,North Carolina,SURRY COUNTY,42.0%,48.5%,6.5%," 27,538 "," 56,811 ",,
,Arizona,YUMA COUNTY,16.3%,22.8%,6.5%," 36,534 "," 160,218 ",,
,Pennsylvania,CLEARFIELD COUNTY,38.2%,44.7%,6.5%," 28,984 "," 64,899 ",,
,North Carolina,CLEVELAND COUNTY,37.7%,44.2%,6.5%," 33,798 "," 76,504 ",,
,Michigan,BRANCH COUNTY,35.5%,42.0%,6.5%," 14,064 "," 33,521 ",,
,Michigan,MUSKEGON COUNTY,27.3%,33.7%,6.5%," 45,133 "," 133,824 ",,
,North Carolina,YADKIN COUNTY,46.9%,53.4%,6.5%," 15,933 "," 29,851 ",,
,Georgia,LAMAR COUNTY,35.5%,41.9%,6.4%," 6,330 "," 15,106 ",,
,Georgia,UPSON COUNTY,35.8%,42.2%,6.4%," 8,608 "," 20,374 ",,
,Georgia,BAKER COUNTY,30.2%,36.7%,6.4%, 897 ," 2,447 ",,
,Wisconsin,TAYLOR COUNTY,42.7%,49.1%,6.4%," 7,656 "," 15,593 ",,
,Georgia,TOOMBS COUNTY,33.4%,39.8%,6.4%," 7,872 "," 19,778 ",,
,Florida,CITRUS COUNTY,44.8%,51.2%,6.4%," 65,352 "," 127,662 ",,
,Pennsylvania,CLARION COUNTY,40.3%,46.7%,6.4%," 14,578 "," 31,247 ",,
,Georgia,TOWNS COUNTY,54.4%,60.8%,6.4%," 6,384 "," 10,505 ",,
,Wisconsin,MANITOWOC COUNTY,36.9%,43.3%,6.4%," 27,217 "," 62,835 ",,
,Florida,WALTON COUNTY,49.5%,55.9%,6.4%," 32,947 "," 58,987 ",,
,Pennsylvania,FAYETTE COUNTY,32.4%,38.8%,6.4%," 40,551 "," 104,556 ",,
,North Carolina,HAYWOOD COUNTY,38.4%,44.8%,6.4%," 22,834 "," 50,968 ",,
,Michigan,IRON COUNTY,39.4%,45.8%,6.3%," 4,216 "," 9,210 ",,
,Wisconsin,LAFAYETTE COUNTY,31.7%,38.0%,6.3%," 4,820 "," 12,679 ",,
,Michigan,BENZIE COUNTY,38.8%,45.1%,6.3%," 6,601 "," 14,621 ",,
,Michigan,LENAWEE COUNTY,34.1%,40.4%,6.3%," 31,541 "," 77,991 ",,
,Georgia,LUMPKIN COUNTY,37.4%,43.7%,6.3%," 12,163 "," 27,813 ",,
,Wisconsin,MONROE COUNTY,33.5%,39.8%,6.3%," 13,775 "," 34,583 ",,
,North Carolina,DAVIE COUNTY,47.5%,53.8%,6.3%," 18,228 "," 33,901 ",,
,Pennsylvania,WARREN COUNTY,38.7%,45.0%,6.3%," 14,237 "," 31,628 ",,
,Georgia,OCONEE COUNTY,49.7%,55.9%,6.3%," 16,595 "," 29,670 ",,
,Florida,NASSAU COUNTY,53.6%,59.8%,6.2%," 42,566 "," 71,160 ",,
,Wisconsin,FLORENCE COUNTY,51.7%,57.9%,6.2%," 2,133 "," 3,682 ",,
,Georgia,LANIER COUNTY,25.4%,31.6%,6.2%," 2,509 "," 7,929 ",,
,Georgia,HARRIS COUNTY,45.4%,51.7%,6.2%," 14,319 "," 27,721 ",,
,North Carolina,PERQUIMANS COUNTY,38.5%,44.7%,6.2%," 4,903 "," 10,957 ",,
,North Carolina,IREDELL COUNTY,41.5%,47.7%,6.2%," 67,010 "," 140,623 ",,
,North Carolina,YANCEY COUNTY,44.7%,50.8%,6.2%," 7,516 "," 14,782 ",,
,Wisconsin,CALUMET COUNTY,41.0%,47.2%,6.2%," 18,142 "," 38,423 ",,
,Florida,WAKULLA COUNTY,42.0%,48.1%,6.2%," 12,874 "," 26,751 ",,
,Georgia,OGLETHORPE COUNTY,40.1%,46.2%,6.2%," 5,593 "," 12,099 ",,
,Wisconsin,PEPIN COUNTY,38.7%,44.8%,6.1%," 2,584 "," 5,768 ",,
,Pennsylvania,CLINTON COUNTY,32.3%,38.5%,6.1%," 11,902 "," 30,943 ",,
,North Carolina,PENDER COUNTY,38.6%,44.8%,6.1%," 21,956 "," 49,058 ",,
,Georgia,GLASCOCK COUNTY,54.1%,60.3%,6.1%," 1,403 "," 2,328 ",,
,Georgia,HALL COUNTY,35.7%,41.8%,6.1%," 64,170 "," 153,638 ",,
,Wisconsin,KENOSHA COUNTY,28.1%,34.2%,6.1%," 44,972 "," 131,558 ",,
,Wisconsin,DODGE COUNTY,38.3%,44.4%,6.1%," 31,354 "," 70,666 ",,
,North Carolina,GRAHAM COUNTY,48.8%,54.8%,6.1%," 3,710 "," 6,767 ",,
,Florida,LAFAYETTE COUNTY,40.3%,46.4%,6.1%," 3,128 "," 6,744 ",,
,Georgia,PICKENS COUNTY,47.8%,53.8%,6.0%," 14,075 "," 26,138 ",,
,Georgia,BARROW COUNTY,37.3%,43.4%,6.0%," 26,804 "," 61,820 ",,
,North Carolina,ROCKINGHAM COUNTY,37.0%,43.1%,6.0%," 31,301 "," 72,695 ",,
,Wisconsin,BARRON COUNTY,38.5%,44.5%,6.0%," 15,797 "," 35,535 ",,
,Wisconsin,WAUSHARA COUNTY,39.1%,45.1%,6.0%," 9,016 "," 19,983 ",,
,North Carolina,HARNETT COUNTY,28.8%,34.8%,6.0%," 35,177 "," 100,990 ",,
,Georgia,TAYLOR COUNTY,31.7%,37.7%,6.0%," 2,418 "," 6,422 ",,
,North Carolina,RANDOLPH COUNTY,45.0%,50.9%,6.0%," 56,894 "," 111,702 ",,
,Florida,OSCEOLA COUNTY,19.8%,25.8%,6.0%," 73,480 "," 285,151 ",,
,North Carolina,HYDE COUNTY,28.6%,34.6%,6.0%," 1,418 "," 4,098 ",,
,Wisconsin,CRAWFORD COUNTY,29.9%,35.8%,6.0%," 4,620 "," 12,898 ",,
,Pennsylvania,MERCER COUNTY,34.9%,40.9%,6.0%," 36,143 "," 88,425 ",,
,Pennsylvania,WASHINGTON COUNTY,36.9%,42.8%,5.9%," 71,347 "," 166,709 ",,
,Michigan,LIVINGSTON COUNTY,44.7%,50.7%,5.9%," 76,982 "," 151,981 ",,
,Georgia,ELBERT COUNTY,35.5%,41.4%,5.9%," 6,226 "," 15,034 ",,
,Michigan,BAY COUNTY,34.2%,40.1%,5.9%," 33,125 "," 82,568 ",,
,Michigan,VAN BUREN COUNTY,31.2%,37.1%,5.9%," 21,591 "," 58,196 ",,
,Georgia,EVANS COUNTY,30.9%,36.8%,5.9%," 2,888 "," 7,842 ",,
,North Carolina,CASWELL COUNTY,32.7%,38.6%,5.9%," 7,089 "," 18,383 ",,
,Pennsylvania,WYOMING COUNTY,40.1%,46.0%,5.9%," 9,936 "," 21,596 ",,
,Ohio,PERRY COUNTY,37.3%,43.2%,5.9%," 11,959 "," 27,651 ",,
,North Carolina,COLUMBUS COUNTY,32.4%,38.2%,5.9%," 16,832 "," 44,013 ",,
,Pennsylvania,PIKE COUNTY,35.8%,41.7%,5.9%," 19,213 "," 46,099 ",,
,Georgia,RABUN COUNTY,46.4%,52.3%,5.9%," 7,474 "," 14,298 ",,
,Michigan,BARAGA COUNTY,31.0%,36.9%,5.9%," 2,512 "," 6,811 ",,
,Georgia,CHEROKEE COUNTY,44.7%,50.6%,5.9%," 99,587 "," 196,911 ",,
,Georgia,CANDLER COUNTY,32.8%,38.6%,5.8%," 3,133 "," 8,107 ",,
,Michigan,JACKSON COUNTY,32.2%,38.0%,5.8%," 47,372 "," 124,689 ",,
,North Carolina,PERSON COUNTY,36.2%,42.0%,5.8%," 13,184 "," 31,361 ",,
,Georgia,FLOYD COUNTY,32.6%,38.4%,5.8%," 29,123 "," 75,897 ",,
,Arizona,APACHE COUNTY,16.0%,21.8%,5.8%," 11,442 "," 52,462 ",,
,Michigan,MIDLAND COUNTY,36.5%,42.3%,5.8%," 27,675 "," 65,480 ",,
,Wisconsin,CHIPPEWA COUNTY,36.4%,42.2%,5.8%," 21,316 "," 50,522 ",,
,Arizona,LA PAZ COUNTY,23.4%,29.1%,5.8%," 5,129 "," 17,602 ",,
,Florida,DIXIE COUNTY,43.4%,49.1%,5.8%," 6,759 "," 13,753 ",,
,North Carolina,MOORE COUNTY,40.6%,46.3%,5.8%," 36,764 "," 79,328 ",,
,Pennsylvania,BUTLER COUNTY,43.5%,49.2%,5.7%," 74,279 "," 150,850 ",,
,Florida,TAYLOR COUNTY,39.0%,44.8%,5.7%," 7,751 "," 17,310 ",,
,Arizona,MARICOPA COUNTY,23.3%,29.0%,5.7%," 995,665 "," 3,432,976 ",,
,North Carolina,FRANKLIN COUNTY,32.6%,38.3%,5.7%," 20,904 "," 54,524 ",,
,Wisconsin,RUSK COUNTY,40.8%,46.5%,5.7%," 5,257 "," 11,295 ",,
,North Carolina,ALEXANDER COUNTY,47.2%,52.9%,5.7%," 15,888 "," 30,040 ",,
,Pennsylvania,CRAWFORD COUNTY,36.7%,42.4%,5.7%," 28,559 "," 67,333 ",,
,Florida,CALHOUN COUNTY,41.0%,46.7%,5.7%," 5,274 "," 11,296 ",,
,Michigan,ANTRIM COUNTY,45.0%,50.8%,5.7%," 9,748 "," 19,206 ",,
,Georgia,CAMDEN COUNTY,31.1%,36.8%,5.7%," 15,251 "," 41,483 ",,
,Pennsylvania,CARBON COUNTY,36.7%,42.4%,5.7%," 21,984 "," 51,877 ",,
,Pennsylvania,SULLIVAN COUNTY,42.5%,48.2%,5.7%," 2,619 "," 5,428 ",,
,North Carolina,BURKE COUNTY,36.3%,42.0%,5.7%," 31,019 "," 73,860 ",,
,Ohio,VINTON COUNTY,38.5%,44.2%,5.7%," 4,525 "," 10,245 ",,
,Georgia,BERRIEN COUNTY,37.8%,43.5%,5.7%," 6,419 "," 14,760 ",,
,Michigan,DICKINSON COUNTY,42.0%,47.7%,5.7%," 9,617 "," 20,178 ",,
,Florida,PASCO COUNTY,35.0%,40.7%,5.6%," 179,621 "," 441,832 ",,
,North Carolina,MONTGOMERY COUNTY,33.9%,39.6%,5.6%," 8,411 "," 21,266 ",,
,Georgia,LINCOLN COUNTY,43.7%,49.3%,5.6%," 3,179 "," 6,444 ",,
,Georgia,BLECKLEY COUNTY,36.4%,42.0%,5.6%," 4,328 "," 10,302 ",,
,Michigan,MACKINAC COUNTY,41.7%,47.3%,5.6%," 4,304 "," 9,099 ",,
,Ohio,HOLMES COUNTY,29.3%,34.9%,5.6%," 10,645 "," 30,479 ",,
,Ohio,FAYETTE COUNTY,36.6%,42.2%,5.6%," 9,220 "," 21,861 ",,
,Ohio,MONROE COUNTY,43.7%,49.3%,5.6%," 5,392 "," 10,931 ",,
,Ohio,PICKAWAY COUNTY,38.0%,43.6%,5.6%," 20,059 "," 46,036 ",,
,Ohio,GUERNSEY COUNTY,37.6%,43.1%,5.6%," 13,077 "," 30,310 ",,
,North Carolina,CHEROKEE COUNTY,47.3%,52.9%,5.6%," 12,628 "," 23,877 ",,
,Florida,SUWANNEE COUNTY,41.2%,46.8%,5.6%," 16,410 "," 35,076 ",,
,North Carolina,MADISON COUNTY,38.9%,44.5%,5.5%," 7,979 "," 17,939 ",,
,Michigan,CASS COUNTY,35.1%,40.6%,5.5%," 16,699 "," 41,124 ",,
,Georgia,SCREVEN COUNTY,30.1%,35.6%,5.5%," 3,916 "," 11,008 ",,
,Michigan,ALGER COUNTY,33.4%,38.9%,5.5%," 3,014 "," 7,746 ",,
,North Carolina,CATAWBA COUNTY,39.9%,45.4%,5.5%," 56,588 "," 124,631 ",,
,Wisconsin,GREEN LAKE COUNTY,43.0%,48.5%,5.5%," 7,165 "," 14,772 ",,
,Georgia,TWIGGS COUNTY,30.6%,36.1%,5.5%," 2,370 "," 6,558 ",,
