Rank,State,County,Republican Turnout,,"Rep Turnout Increase 
(2020-2016)","Republican
Votes 2020",Voting Age Pop 2020,,
,North Carolina,HENDERSON COUNTY,39.1%,41.9%,2.8%," 40,032 "," 95,451 ",,
,Ohio,MAHONING COUNTY,29.2%,32.0%,2.8%," 58,601 "," 183,211 ",,
,Georgia,COFFEE COUNTY,29.6%,32.3%,2.7%," 10,578 "," 32,708 ",,
,Michigan,WAYNE COUNTY,17.1%,19.8%,2.7%," 264,553 "," 1,337,049 ",,
,Ohio,SCIOTO COUNTY,34.4%,37.1%,2.7%," 21,926 "," 59,037 ",,
,North Carolina,NEW HANOVER COUNTY,30.3%,33.0%,2.7%," 63,333 "," 191,812 ",,
,Georgia,MACON COUNTY,14.2%,16.9%,2.7%," 1,783 "," 10,551 ",,
,Georgia,MONTGOMERY COUNTY,37.7%,40.3%,2.7%," 2,960 "," 7,342 ",,
,North Carolina,BERTIE COUNTY,21.7%,24.4%,2.7%," 3,817 "," 15,647 ",,
,Georgia,TELFAIR COUNTY,18.6%,21.2%,2.6%," 2,825 "," 13,318 ",,
,North Carolina,GREENE COUNTY,26.2%,28.9%,2.6%," 4,874 "," 16,884 ",,
,Pennsylvania,LACKAWANNA COUNTY,28.8%,31.4%,2.6%," 52,332 "," 166,709 ",,
,Pennsylvania,MONROE COUNTY,25.1%,27.7%,2.6%," 37,989 "," 137,154 ",,
,Michigan,KENT COUNTY,30.6%,33.2%,2.6%," 165,741 "," 499,890 ",,
,Wisconsin,WINNEBAGO COUNTY,32.3%,34.9%,2.6%," 47,795 "," 136,902 ",,
,Florida,OKALOOSA COUNTY,46.2%,48.7%,2.5%," 79,798 "," 163,900 ",,
,Ohio,HANCOCK COUNTY,41.2%,43.7%,2.5%," 25,796 "," 59,054 ",,
,Florida,CLAY COUNTY,47.5%,50.0%,2.5%," 84,480 "," 168,898 ",,
,Georgia,EARLY COUNTY,33.1%,35.5%,2.5%," 2,722 "," 7,657 ",,
,Pennsylvania,ALLEGHENY COUNTY,26.1%,28.5%,2.5%," 282,324 "," 989,472 ",,
,North Carolina,TRANSYLVANIA COUNTY,37.5%,40.0%,2.4%," 11,636 "," 29,099 ",,
,Georgia,SUMTER COUNTY,22.7%,25.1%,2.4%," 5,732 "," 22,842 ",,
,Pennsylvania,CHESTER COUNTY,29.3%,31.6%,2.3%," 128,565 "," 407,024 ",,
,Ohio,GALLIA COUNTY,42.2%,44.6%,2.3%," 10,289 "," 23,088 ",,
,Ohio,CLERMONT COUNTY,43.5%,45.8%,2.3%," 73,077 "," 159,541 ",,
,Michigan,KALAMAZOO COUNTY,25.0%,27.3%,2.3%," 56,823 "," 208,176 ",,
,Florida,ESCAMBIA COUNTY,36.1%,38.3%,2.3%," 96,674 "," 252,085 ",,
,Ohio,ALLEN COUNTY,38.4%,40.6%,2.3%," 32,052 "," 78,859 ",,
,North Carolina,BUNCOMBE COUNTY,27.0%,29.2%,2.2%," 62,412 "," 213,777 ",,
,Wisconsin,LA CROSSE COUNTY,28.0%,30.2%,2.2%," 28,661 "," 94,882 ",,
,Pennsylvania,DAUPHIN COUNTY,28.6%,30.8%,2.2%," 66,404 "," 215,697 ",,
,Ohio,SUMMIT COUNTY,26.3%,28.5%,2.2%," 122,023 "," 428,820 ",,
,North Carolina,HERTFORD COUNTY,15.9%,18.0%,2.1%," 3,479 "," 19,299 ",,
,Florida,GADSDEN COUNTY,18.7%,20.8%,2.1%," 7,465 "," 35,804 ",,
,Georgia,MUSCOGEE COUNTY,18.3%,20.4%,2.1%," 30,049 "," 147,358 ",,
,Michigan,KEWEENAW COUNTY,45.4%,47.5%,2.1%, 862 ," 1,813 ",,
,Georgia,DOOLY COUNTY,17.2%,19.3%,2.1%," 2,159 "," 11,188 ",,
,North Carolina,FORSYTH COUNTY,26.7%,28.8%,2.1%," 85,060 "," 295,401 ",,
,Georgia,BIBB COUNTY,20.9%,22.9%,2.1%," 26,585 "," 116,041 ",,
,Georgia,CALHOUN COUNTY,15.9%,18.0%,2.0%, 923 ," 5,141 ",,
,Georgia,NEWTON COUNTY,26.8%,28.8%,2.0%," 23,869 "," 82,882 ",,
,Ohio,WARREN COUNTY,45.9%,47.8%,2.0%," 85,069 "," 177,873 ",,
,Ohio,DELAWARE COUNTY,40.1%,42.0%,2.0%," 65,163 "," 155,021 ",,
,Georgia,FAYETTE COUNTY,41.1%,43.1%,1.9%," 37,952 "," 88,100 ",,
,Florida,DUVAL COUNTY,29.6%,31.5%,1.9%," 233,762 "," 742,007 ",,
,Georgia,QUITMAN COUNTY,30.4%,32.3%,1.9%, 604 ," 1,869 ",,
,Georgia,TALIAFERRO COUNTY,26.3%,28.2%,1.9%, 360 ," 1,278 ",,
,Ohio,WOOD COUNTY,31.5%,33.4%,1.9%," 34,815 "," 104,261 ",,
,North Carolina,WAKE COUNTY,24.8%,26.6%,1.9%," 226,197 "," 849,055 ",,
,Wisconsin,EAU CLAIRE COUNTY,28.4%,30.3%,1.9%," 25,339 "," 83,560 ",,
,Pennsylvania,PHILADELPHIA COUNTY,8.9%,10.7%,1.8%," 132,870 "," 1,241,890 ",,
,Georgia,GWINNETT COUNTY,22.4%,24.2%,1.8%," 166,413 "," 687,242 ",,
,North Carolina,TYRRELL COUNTY,30.0%,31.8%,1.8%," 1,044 "," 3,288 ",,
,Michigan,WASHTENAW COUNTY,17.1%,18.8%,1.7%," 56,241 "," 299,837 ",,
,North Carolina,MECKLENBURG COUNTY,19.4%,21.0%,1.6%," 179,211 "," 852,079 ",,
,North Carolina,PITT COUNTY,25.7%,27.4%,1.6%," 38,982 "," 142,466 ",,
,Pennsylvania,DELAWARE COUNTY,25.2%,26.8%,1.6%," 118,532 "," 442,236 ",,
,North Carolina,GUILFORD COUNTY,24.1%,25.7%,1.5%," 107,294 "," 418,240 ",,
,Georgia,FULTON COUNTY,14.9%,16.4%,1.5%," 137,240 "," 835,904 ",,
,Florida,ALACHUA COUNTY,21.6%,23.1%,1.4%," 50,972 "," 220,754 ",,
,Georgia,COBB COUNTY,27.0%,28.4%,1.4%," 165,459 "," 583,231 ",,
,Ohio,LUCAS COUNTY,22.8%,24.1%,1.4%," 79,628 "," 330,041 ",,
,Michigan,INGHAM COUNTY,18.9%,20.3%,1.4%," 47,639 "," 234,887 ",,
,Georgia,RICHMOND COUNTY,15.8%,17.1%,1.3%," 26,781 "," 156,465 ",,
,Ohio,CUYAHOGA COUNTY,18.6%,19.9%,1.3%," 195,089 "," 980,955 ",,
,Wisconsin,MILWAUKEE COUNTY,17.4%,18.7%,1.3%," 134,355 "," 720,305 ",,
,Georgia,CLARKE COUNTY,12.3%,13.6%,1.2%," 14,446 "," 106,329 ",,
,Georgia,CLAYTON COUNTY,6.3%,7.5%,1.2%," 15,813 "," 211,634 ",,
,Wisconsin,DANE COUNTY,16.9%,18.1%,1.1%," 78,789 "," 436,427 ",,
,North Carolina,DURHAM COUNTY,11.7%,12.7%,1.0%," 32,459 "," 255,829 ",,
,Georgia,DEKALB COUNTY,9.0%,10.0%,1.0%," 58,373 "," 584,968 ",,
,Ohio,GREENE COUNTY,37.0%,38.0%,1.0%," 50,937 "," 134,183 ",,
,Georgia,CHATTAHOOCHEE COUNTY,9.5%,10.4%,0.9%, 880 ," 8,447 ",,
,Florida,LEON COUNTY,23.1%,24.0%,0.9%," 57,453 "," 238,914 ",,
,Ohio,BUTLER COUNTY,37.1%,38.0%,0.9%," 111,722 "," 293,993 ",,
,Pennsylvania,CENTRE COUNTY,25.7%,26.3%,0.6%," 36,372 "," 138,326 ",,
,North Carolina,ORANGE COUNTY,16.2%,16.8%,0.6%," 20,176 "," 119,925 ",,
,Georgia,DOUGHERTY COUNTY,15.0%,15.6%,0.6%," 10,454 "," 67,169 ",,
,North Carolina,WATAUGA COUNTY,29.1%,29.5%,0.4%," 14,451 "," 49,022 ",,
,Ohio,MONTGOMERY COUNTY,30.0%,30.4%,0.4%," 126,085 "," 414,980 ",,
,Wisconsin,MENOMINEE COUNTY,8.9%,9.1%,0.2%, 278 ," 3,041 ",,
,Ohio,FRANKLIN COUNTY,20.4%,20.1%,-0.4%," 203,154 "," 1,011,349 ",,
,Georgia,DOUGLAS COUNTY,23.8%,23.4%,-0.4%," 25,451 "," 108,767 ",,
,Ohio,HAMILTON COUNTY,27.9%,27.4%,-0.4%," 173,015 "," 630,410 ",,
,Georgia,HENRY COUNTY,28.1%,27.5%,-0.6%," 48,187 "," 175,285 ",,
,Georgia,ROCKDALE COUNTY,20.3%,18.9%,-1.4%," 13,012 "," 68,889 ",,
,Ohio,ATHENS COUNTY,20.1%,18.6%,-1.5%," 10,386 "," 55,914 ",,
,Georgia,STEWART COUNTY,15.1%,13.6%,-1.5%, 801 ," 5,904 ",,
