state,county,year,total,dem,gop,AGE18PLUS_TOT,repturnout,demturnout,turnout,winner
Florida,BROWARD COUNTY,2012,756422,508312,244101,1417997,0.17214493401608044,0.3584718444397273,0.5334440058758939,blue
Florida,BROWARD COUNTY,2016,831951,553320,260951,1503029,0.1736167432564508,0.3681366094732703,0.5535162661532146,blue
Florida,BROWARD COUNTY,2020,957672,618752,333409,1542553,0.21614103372785246,0.4011220360013562,0.620835718448572,blue
Florida,CALHOUN COUNTY,2012,6152,1664,4366,11553,0.3779104994373756,0.14403185319830347,0.5325023803341123,red
Florida,CALHOUN COUNTY,2016,6081,1241,4655,11361,0.4097350585335798,0.1092333421353754,0.5352521785054133,red
Florida,CALHOUN COUNTY,2020,6526,1209,5274,11296,0.46689093484419264,0.10702903682719547,0.5777266288951841,red
Florida,CHARLOTTE COUNTY,2012,84682,35906,47996,140504,0.34159881569207995,0.2555514433752776,0.6027017024426351,red
Florida,CHARLOTTE COUNTY,2016,96374,33445,60218,155315,0.38771528828509805,0.21533657405917006,0.6205067121655989,red
Florida,CHARLOTTE COUNTY,2020,116340,42273,73243,166579,0.43968927655947027,0.25377148380047904,0.6984073622725554,red
Florida,CITRUS COUNTY,2012,73935,28460,44662,117846,0.3789861344466507,0.24150162075929604,0.6273865892775317,red
Florida,CITRUS COUNTY,2016,79700,22789,54456,121666,0.44758601416994065,0.18730787565959264,0.6550720825867539,red
Florida,CITRUS COUNTY,2020,93208,27092,65352,127662,0.511914273628801,0.2122166345506102,0.7301154611395717,red
Florida,CLAY COUNTY,2012,96589,25759,70022,145151,0.48240797514312683,0.17746346907703012,0.6654380610536613,red
Florida,CLAY COUNTY,2016,106483,27822,74963,157749,0.47520428021730726,0.17636878839168552,0.6750153725221713,red
Florida,CLAY COUNTY,2020,124405,38317,84480,168898,0.5001835427299317,0.22686473492877357,0.7365688166822579,red
Florida,COLLIER COUNTY,2012,149112,51698,96520,269563,0.358061009856694,0.191784480807826,0.5531619695581367,red
Florida,COLLIER COUNTY,2016,170789,61085,105423,300908,0.35034960851821817,0.2030022465338243,0.5675787948475947,red
Florida,COLLIER COUNTY,2020,207818,77621,128950,320147,0.4027837212280609,0.24245424758001793,0.6491330545030877,red
Florida,COLUMBIA COUNTY,2012,27163,8462,18429,53038,0.34746785323730156,0.1595459858969041,0.5121422376409367,red
Florida,COLUMBIA COUNTY,2016,28707,7601,20368,53985,0.37728998795961843,0.1407983699175697,0.5317588218949708,red
Florida,COLUMBIA COUNTY,2020,33042,8914,23836,56246,0.42378124666642963,0.15848238096931339,0.5874551079187853,red
Florida,DESOTO COUNTY,2012,9865,4174,5587,27500,0.20316363636363635,0.15178181818181818,0.35872727272727273,red
Florida,DESOTO COUNTY,2016,10818,3781,6778,29152,0.23250548847420416,0.12969950603732164,0.371089462129528,red
Florida,DESOTO COUNTY,2020,12659,4259,8313,30849,0.2694738889429155,0.13805958053745665,0.4103536581412688,red
Florida,DIXIE COUNTY,2012,6941,1798,5052,13068,0.38659320477502296,0.13758800122436485,0.5311447811447811,red
Florida,DIXIE COUNTY,2016,7202,1270,5822,13422,0.43376545969304126,0.0946207718670839,0.5365817314856206,red
Florida,DIXIE COUNTY,2020,8167,1365,6759,13753,0.4914564095106522,0.0992510724932742,0.5938340725659856,red
Florida,DUVAL COUNTY,2012,411848,196737,211615,676813,0.3126639115974427,0.2906814733168541,0.6085107703309481,red
Florida,DUVAL COUNTY,2016,432695,205704,211672,715756,0.2957320651171628,0.2873940281324921,0.6045286382510241,red
Florida,DUVAL COUNTY,2020,492820,252556,233762,742007,0.31504015460770585,0.3403687566289806,0.6641716318040126,blue
Florida,ESCAMBIA COUNTY,2012,148502,58185,88711,239353,0.3706283188428806,0.24309283777516888,0.620430911666033,red
Florida,ESCAMBIA COUNTY,2016,152469,57461,88808,246051,0.360933302445428,0.2335328854587057,0.6196642159552288,red
Florida,ESCAMBIA COUNTY,2020,170372,70929,96674,252085,0.38349762976773705,0.28136937937600415,0.6758513993295913,red
Florida,FLAGLER COUNTY,2012,50595,23207,26969,79694,0.3384069064170452,0.2912013451451803,0.6348658619218511,red
Florida,FLAGLER COUNTY,2016,57503,22026,33850,88616,0.3819851945472601,0.24855556558635009,0.6489008756883633,red
Florida,FLAGLER COUNTY,2020,71716,28161,43043,95954,0.44857952769035164,0.293484377931092,0.7473997957354566,red
