year,state,state_po,county,dem,gop,other,total
2020,Georgia,GA,WHEELER COUNTY,689,1583,13,2285
2020,Georgia,GA,WHITE COUNTY,2411,12222,183,14816
2020,Georgia,GA,WHITFIELD COUNTY,10670,25636,440,36746
2020,Georgia,GA,WILCOX COUNTY,862,2403,16,3281
2020,Georgia,GA,WILKES COUNTY,2160,2823,46,5029
2020,Georgia,GA,WILKINSON COUNTY,2075,2664,31,4770
2020,Georgia,GA,WORTH COUNTY,2395,6830,60,9285
2020,Michigan,MI,ALCONA COUNTY,2142,4848,73,7063
2020,Michigan,MI,ALGER COUNTY,2053,3014,61,5128
2020,Michigan,MI,ALLEGAN COUNTY,24449,41392,1241,67082
2020,Michigan,MI,ALPENA COUNTY,6000,10686,280,16966
2020,Michigan,MI,ANTRIM COUNTY,5960,9748,241,15949
2020,Michigan,MI,ARENAC COUNTY,2774,5928,129,8831
2020,Michigan,MI,BARAGA COUNTY,1478,2512,46,4036
2020,Michigan,MI,BARRY COUNTY,11797,23471,637,35905
2020,Michigan,MI,BAY COUNTY,26151,33125,977,60253
2020,Michigan,MI,BENZIE COUNTY,5480,6601,179,12260
2020,Michigan,MI,BERRIEN COUNTY,37438,43519,1422,82379
2020,Michigan,MI,BRANCH COUNTY,6159,14064,313,20536
2020,Michigan,MI,CALHOUN COUNTY,28877,36221,1178,66276
2020,Michigan,MI,CASS COUNTY,9130,16699,384,26213
2020,Michigan,MI,CHARLEVOIX COUNTY,6939,9841,220,17000
2020,Michigan,MI,CHEBOYGAN COUNTY,5437,10186,245,15868
2020,Michigan,MI,CHIPPEWA COUNTY,6648,10681,311,17640
2020,Michigan,MI,CLARE COUNTY,5199,10861,221,16281
2020,Michigan,MI,CLINTON COUNTY,21968,25098,844,47910
2020,Michigan,MI,CRAWFORD COUNTY,2672,5087,102,7861
2020,Michigan,MI,DELTA COUNTY,7606,13207,338,21151
2020,Michigan,MI,DICKINSON COUNTY,4744,9617,228,14589
2020,Michigan,MI,EATON COUNTY,31299,31798,1207,64304
2020,Michigan,MI,EMMET COUNTY,9662,12135,379,22176
2020,Michigan,MI,GD. TRAVERSE COUNTY,28683,30502,1042,60227
2020,Michigan,MI,GENESEE COUNTY,119390,98714,3212,221316
2020,Michigan,MI,GLADWIN COUNTY,4524,9893,186,14603
