,,demturnout,demturnout,demturnout,dem,dem,dem,AGE18PLUS_TOT,AGE18PLUS_TOT,AGE18PLUS_TOT
Florida,SANTA ROSA COUNTY,0.14589645687071479,0.13984170863786116,0.19159167077207032,17768,18464,27612,121785,132035,144119
Florida,SARASOTA COUNTY,0.29089446707524436,0.2774596298648281,0.32216792107677206,95119,97870,120110,326988,352736,372818
Florida,SEMINOLE COUNTY,0.28763536264214756,0.295238068690225,0.3547057501043819,96445,105914,132528,335303,358741,373628
Florida,ST. JOHNS COUNTY,0.22431157572667007,0.23527196104548334,0.3077390218863414,35190,43099,63850,156880,183188,207481
Florida,ST. LUCIE COUNTY,0.2971006648444336,0.27445452568253537,0.3184763764923198,65869,66881,84137,221706,243687,264186
Florida,SUMTER COUNTY,0.20918422011271348,0.19984463002524763,0.23849624060150376,19524,22638,29341,93334,113278,123025
Florida,SUWANNEE COUNTY,0.13914597000937207,0.11439785287581888,0.12786520697913104,4751,3964,4485,34144,34651,35076
Florida,TAYLOR COUNTY,0.15026639121452648,0.12123260661371191,0.13281340265742345,2764,2152,2299,18394,17751,17310
Florida,UNION COUNTY,0.10876451953537487,0.08221177233663045,0.08613496932515337,1339,1014,1053,12311,12334,12225
Florida,VOLUSIA COUNTY,0.2832220993602401,0.25124191917679817,0.28603003671348587,114748,109091,130575,405152,434207,456508
Florida,WAKULLA COUNTY,0.21401100037219303,0.17352436444905614,0.2000299054240963,5175,4348,5351,24181,25057,26751
Florida,WALTON COUNTY,0.14639338146546996,0.13212151490113944,0.1752589553630461,6671,6876,10338,45569,52043,58987
Florida,WASHINGTON COUNTY,0.1437308868501529,0.11565181855333061,0.11506030002941464,2820,2264,2347,19620,19576,20398
Georgia,APPLING COUNTY,0.12791036088474972,0.10377768128528007,0.128234700497369,1758,1434,1779,13744,13818,13873
Georgia,ATKINSON COUNTY,0.157600406710727,0.11634117843431814,0.13692946058091288,930,697,825,5901,5991,6025
Georgia,BACON COUNTY,0.09603010804904698,0.07257968246388923,0.07502100588164685,791,608,625,8237,8377,8331
Georgia,BAKER COUNTY,0.3055021161985379,0.253411306042885,0.26644871270944015,794,650,652,2599,2565,2447
Georgia,BALDWIN COUNTY,0.2268849126748509,0.21803359413470483,0.24971313043003115,8483,7970,9140,37389,36554,36602
Georgia,BANKS COUNTY,0.05673552516729706,0.04846938775510204,0.06226616782469268,780,684,932,13748,14112,14968
Georgia,BARROW COUNTY,0.11875258564646086,0.11639425458147598,0.16908767389194435,6028,6580,10453,50761,56532,61820
Georgia,BARTOW COUNTY,0.11299678344077628,0.10554049017465846,0.1473789413385011,8396,8212,12092,74303,77809,82047
Georgia,BEN HILL COUNTY,0.1936627862154036,0.16337480559875583,0.18976596588655295,2512,2101,2392,12971,12860,12605
Georgia,BERRIEN COUNTY,0.0880359612724758,0.07303801883501919,0.08597560975609755,1273,1047,1269,14460,14335,14760
Georgia,BIBB COUNTY,0.3301192655840934,0.3191155294158469,0.374591739126688,38585,36787,43468,116882,115278,116041
Georgia,BLECKLEY COUNTY,0.1265456721180694,0.10768779342723005,0.12725684333139195,1269,1101,1311,10028,10224,10302
Georgia,BRANTLEY COUNTY,0.06787134080231297,0.04420165666952299,0.04760607505278213,939,619,699,13835,14004,14683
Georgia,BROOKS COUNTY,0.2592959841348537,0.20598060783834432,0.23016003959742617,3138,2528,2790,12102,12273,12122
Georgia,BRYAN COUNTY,0.16213970170143902,0.15862477771191463,0.24085921584045178,3707,4014,6739,22863,25305,27979
Georgia,BULLOCH COUNTY,0.16366955572237768,0.15510744133853652,0.17608181547665658,9593,9261,11243,58612,59707,63851
Georgia,BURKE COUNTY,0.3211717867966011,0.28409295622410374,0.3130220539631032,5405,4731,5209,16829,16653,16641
Georgia,BUTTS COUNTY,0.16194685436787254,0.13668566558355083,0.16507840467907023,2968,2566,3274,18327,18773,19833
Georgia,CALHOUN COUNTY,0.24458262671942718,0.22594863932541204,0.24508850418206574,1298,1179,1260,5307,5218,5141
Georgia,CAMDEN COUNTY,0.1676789987115774,0.14958504654037283,0.19205457657353614,6377,5930,7967,38031,39643,41483
Georgia,CANDLER COUNTY,0.14012353154898874,0.12638580931263857,0.15653139262365856,1157,1026,1269,8257,8118,8107
Georgia,CARROLL COUNTY,0.1516651127208396,0.1414354609929078,0.17710253361981523,12688,12464,16238,83658,88125,91687
Georgia,CATOOSA COUNTY,0.10938933632378428,0.0940209679962163,0.13251008353564123,5365,4771,6932,49045,50744,52313
Georgia,CHARLTON COUNTY,0.11131777178461824,0.09647352743345824,0.10086877000457248,1197,1004,1103,10753,10407,10935
Georgia,CHATHAM COUNTY,0.28035478286767307,0.27622079926211046,0.34159522271306597,60246,62290,78254,214892,225508,229084
Georgia,CHATTAHOOCHEE COUNTY,0.08150715563506261,0.07488653555219364,0.07896294542441103,729,594,667,8944,7932,8447
Georgia,CHATTOOGA COUNTY,0.11226234785232873,0.08359678673231408,0.0963216957605985,2232,1613,1854,19882,19295,19248
Georgia,CHEROKEE COUNTY,0.12289253638897492,0.13985521706354487,0.21732660948347224,19841,25231,42794,161450,180408,196911
Georgia,CLARKE COUNTY,0.2568502489622365,0.2874607937386508,0.3390232203820218,25431,29603,36048,99011,102981,106329
Georgia,CLAY COUNTY,0.35444078947368424,0.29508890770533447,0.34543069523393094,862,697,790,2432,2362,2287
Georgia,CLAYTON COUNTY,0.42833186138447304,0.3906878243453157,0.45113734088095486,81479,78220,95476,190224,200211,211634
