State,County,Year,Reg_Voters
Georgia,WARE COUNTY,2020,20580
Georgia,WARREN COUNTY,2020,3789
Georgia,WASHINGTON COUNTY,2020,12994
Georgia,WAYNE COUNTY,2020,18164
Georgia,WEBSTER COUNTY,2020,1713
Georgia,WHEELER COUNTY,2020,3169
Georgia,WHITE COUNTY,2020,20630
Georgia,WHITFIELD COUNTY,2020,54779
Georgia,WILCOX COUNTY,2020,4562
Georgia,WILKES COUNTY,2020,6836
Georgia,WILKINSON COUNTY,2020,6484
Georgia,WORTH COUNTY,2020,13847
Michigan,ALCONA COUNTY,2020,9842
Michigan,ALGER COUNTY,2020,7565
Michigan,ALLEGAN COUNTY,2020,93547
Michigan,ALPENA COUNTY,2020,24768
Michigan,ANTRIM COUNTY,2020,21961
Michigan,ARENAC COUNTY,2020,12693
Michigan,BARAGA COUNTY,2020,6681
Michigan,BARRY COUNTY,2020,49600
Michigan,BAY COUNTY,2020,84534
Michigan,BENZIE COUNTY,2020,16421
Michigan,BERRIEN COUNTY,2020,134312
Michigan,BRANCH COUNTY,2020,33640
Michigan,CALHOUN COUNTY,2020,105964
Michigan,CASS COUNTY,2020,44434
Michigan,CHARLEVOIX COUNTY,2020,23670
Michigan,CHEBOYGAN COUNTY,2020,22538
Michigan,CHIPPEWA COUNTY,2020,26085
Michigan,CLARE COUNTY,2020,25154
Michigan,CLINTON COUNTY,2020,62024
Michigan,CRAWFORD COUNTY,2020,11966
Michigan,DELTA COUNTY,2020,31218
Michigan,DICKINSON COUNTY,2020,23280
Michigan,EATON COUNTY,2020,87635
Michigan,EMMET COUNTY,2020,30536
Michigan,GENESEE COUNTY,2020,348259
Michigan,GLADWIN COUNTY,2020,21851
Michigan,GOGEBIC COUNTY,2020,14278
Michigan,GRAND TRAVERSE COUNTY,2020,80742
Michigan,GRATIOT COUNTY,2020,28190
Michigan,HILLSDALE COUNTY,2020,36373
Michigan,HOUGHTON COUNTY,2020,26465
Michigan,HURON COUNTY,2020,26141
Michigan,INGHAM COUNTY,2020,213353
Michigan,IONIA COUNTY,2020,46736
Michigan,IOSCO COUNTY,2020,22508
Michigan,IRON COUNTY,2020,10442
Michigan,ISABELLA COUNTY,2020,46052
Michigan,JACKSON COUNTY,2020,121853
Michigan,KALAMAZOO COUNTY,2020,209826
Michigan,KALKASKA COUNTY,2020,15966
Michigan,KENT COUNTY,2020,498832
Michigan,KEWEENAW COUNTY,2020,2046
Michigan,LAKE COUNTY,2020,9956
Michigan,LAPEER COUNTY,2020,71794
Michigan,LEELANAU COUNTY,2020,21333
Michigan,LENAWEE COUNTY,2020,78765
Michigan,LIVINGSTON COUNTY,2020,160644
Michigan,LUCE COUNTY,2020,4543
Michigan,MACKINAC COUNTY,2020,10083
Michigan,MACOMB COUNTY,2020,689812
Michigan,MANISTEE COUNTY,2020,20908
Michigan,MARQUETTE COUNTY,2020,54567
Michigan,MASON COUNTY,2020,24630
Michigan,MECOSTA COUNTY,2020,31052
Michigan,MENOMINEE COUNTY,2020,20053
Michigan,MIDLAND COUNTY,2020,69376
Michigan,MISSAUKEE COUNTY,2020,12010
Michigan,MONROE COUNTY,2020,130135
Michigan,MONTCALM COUNTY,2020,47629
Michigan,MONTMORENCY COUNTY,2020,8553
Michigan,MUSKEGON COUNTY,2020,140636
Michigan,NEWAYGO COUNTY,2020,39611
Michigan,OAKLAND COUNTY,2020,1030567
Michigan,OCEANA COUNTY,2020,21129
Michigan,OGEMAW COUNTY,2020,17816
Michigan,ONTONAGON COUNTY,2020,5727
Michigan,OSCEOLA COUNTY,2020,18356
Michigan,OSCODA COUNTY,2020,7266
Michigan,OTSEGO COUNTY,2020,22945
Michigan,OTTAWA COUNTY,2020,219641
Michigan,PRESQUE ISLE COUNTY,2020,11523
Michigan,ROSCOMMON COUNTY,2020,22908
Michigan,SAGINAW COUNTY,2020,156209
Michigan,ST CLAIR COUNTY,2020,133821
Michigan,ST JOSEPH COUNTY,2020,47227
Michigan,SANILAC COUNTY,2020,31510
Michigan,SCHOOLCRAFT COUNTY,2020,7198
Michigan,SHIAWASSEE COUNTY,2020,55703
Michigan,TUSCOLA COUNTY,2020,42707
Michigan,VAN BUREN COUNTY,2020,60552
Michigan,WASHTENAW COUNTY,2020,316414
Michigan,WAYNE COUNTY,2020,1398888
Michigan,WEXFORD COUNTY,2020,27347
North Carolina,ALAMANCE COUNTY,2020,110926
North Carolina,ALEXANDER COUNTY,2020,24953
North Carolina,ALLEGHANY COUNTY,2020,7609
North Carolina,ANSON COUNTY,2020,16732
North Carolina,ASHE COUNTY,2020,19545
North Carolina,AVERY COUNTY,2020,12355
North Carolina,BEAUFORT COUNTY,2020,34090
North Carolina,BERTIE COUNTY,2020,13335
North Carolina,BLADEN COUNTY,2020,22855
North Carolina,BRUNSWICK COUNTY,2020,114745
North Carolina,BUNCOMBE COUNTY,2020,207375
North Carolina,BURKE COUNTY,2020,58309
North Carolina,CABARRUS COUNTY,2020,150595
North Carolina,CALDWELL COUNTY,2020,54780
North Carolina,CAMDEN COUNTY,2020,8167
North Carolina,CARTERET COUNTY,2020,51774
North Carolina,CASWELL COUNTY,2020,15513
North Carolina,CATAWBA COUNTY,2020,108863
North Carolina,CHATHAM COUNTY,2020,57929
North Carolina,CHEROKEE COUNTY,2020,22680
North Carolina,CHOWAN COUNTY,2020,10259
North Carolina,CLAY COUNTY,2020,9131
North Carolina,CLEVELAND COUNTY,2020,67725
North Carolina,COLUMBUS COUNTY,2020,37050
North Carolina,CRAVEN COUNTY,2020,72856
North Carolina,CUMBERLAND COUNTY,2020,226653
North Carolina,CURRITUCK COUNTY,2020,21832
North Carolina,DARE COUNTY,2020,30128
North Carolina,DAVIDSON COUNTY,2020,113790
North Carolina,DAVIE COUNTY,2020,31481
North Carolina,DUPLIN COUNTY,2020,30503
North Carolina,DURHAM COUNTY,2020,244574
North Carolina,EDGECOMBE COUNTY,2020,35801
North Carolina,FORSYTH COUNTY,2020,271904
North Carolina,FRANKLIN COUNTY,2020,47720
North Carolina,GASTON COUNTY,2020,151667
North Carolina,GATES COUNTY,2020,8364
North Carolina,GRAHAM COUNTY,2020,6081
North Carolina,GRANVILLE COUNTY,2020,39986
North Carolina,GREENE COUNTY,2020,11388
North Carolina,GUILFORD COUNTY,2020,383792
North Carolina,HALIFAX COUNTY,2020,37958
North Carolina,HARNETT COUNTY,2020,82298
North Carolina,HAYWOOD COUNTY,2020,46445
North Carolina,HENDERSON COUNTY,2020,87557
North Carolina,HERTFORD COUNTY,2020,15048
North Carolina,HOKE COUNTY,2020,33233
North Carolina,HYDE COUNTY,2020,3171
North Carolina,IREDELL COUNTY,2020,130794
North Carolina,JACKSON COUNTY,2020,29791
North Carolina,JOHNSTON COUNTY,2020,143707
North Carolina,JONES COUNTY,2020,7398
North Carolina,LEE COUNTY,2020,38705
North Carolina,LENOIR COUNTY,2020,38541
North Carolina,LINCOLN COUNTY,2020,62638
North Carolina,MACON COUNTY,2020,27162
North Carolina,MADISON COUNTY,2020,17264
North Carolina,MARTIN COUNTY,2020,16516
North Carolina,MCDOWELL COUNTY,2020,29898
North Carolina,MECKLENBURG COUNTY,2020,792282
North Carolina,MITCHELL COUNTY,2020,11139
North Carolina,MONTGOMERY COUNTY,2020,17029
North Carolina,MOORE COUNTY,2020,74033
North Carolina,NASH COUNTY,2020,68677
North Carolina,NEW HANOVER COUNTY,2020,177353
North Carolina,NORTHAMPTON COUNTY,2020,13939
North Carolina,ONSLOW COUNTY,2020,117223
North Carolina,ORANGE COUNTY,2020,111900
North Carolina,PAMLICO COUNTY,2020,9774
North Carolina,PASQUOTANK COUNTY,2020,28723
North Carolina,PENDER COUNTY,2020,44958
North Carolina,PERQUIMANS COUNTY,2020,9760
North Carolina,PERSON COUNTY,2020,27784
North Carolina,PITT COUNTY,2020,123553
North Carolina,POLK COUNTY,2020,16488
North Carolina,RANDOLPH COUNTY,2020,94919
North Carolina,RICHMOND COUNTY,2020,29392
North Carolina,ROBESON COUNTY,2020,76791
North Carolina,ROCKINGHAM COUNTY,2020,61624
North Carolina,ROWAN COUNTY,2020,97444
North Carolina,RUTHERFORD COUNTY,2020,45949
North Carolina,SAMPSON COUNTY,2020,38096
North Carolina,SCOTLAND COUNTY,2020,22041
North Carolina,STANLY COUNTY,2020,42963
North Carolina,STOKES COUNTY,2020,31796
North Carolina,SURRY COUNTY,2020,47194
North Carolina,SWAIN COUNTY,2020,10090
North Carolina,TRANSYLVANIA COUNTY,2020,26513
North Carolina,TYRRELL COUNTY,2020,2371
North Carolina,UNION COUNTY,2020,168233
North Carolina,VANCE COUNTY,2020,29702
North Carolina,WAKE COUNTY,2020,794495
North Carolina,WARREN COUNTY,2020,13531
North Carolina,WASHINGTON COUNTY,2020,8316
North Carolina,WATAUGA COUNTY,2020,45166
North Carolina,WAYNE COUNTY,2020,76192
North Carolina,WILKES COUNTY,2020,43934
North Carolina,WILSON COUNTY,2020,57018
North Carolina,YADKIN COUNTY,2020,24725
North Carolina,YANCEY COUNTY,2020,14170
Ohio,ADAMS COUNTY,2020,17246
Ohio,ALLEN COUNTY,2020,67374
Ohio,ASHLAND COUNTY,2020,34837
Ohio,ASHTABULA COUNTY,2020,61453
Ohio,ATHENS COUNTY,2020,39344
Ohio,AUGLAIZE COUNTY,2020,32489
Ohio,BELMONT COUNTY,2020,46315
Ohio,BROWN COUNTY,2020,29069
Ohio,BUTLER COUNTY,2020,256908
Ohio,CARROLL COUNTY,2020,18416
Ohio,CHAMPAIGN COUNTY,2020,26492
Ohio,CLARK COUNTY,2020,89826
Ohio,CLERMONT COUNTY,2020,145129
Ohio,CLINTON COUNTY,2020,27616
Ohio,COLUMBIANA COUNTY,2020,66293
Ohio,COSHOCTON COUNTY,2020,22730
Ohio,CRAWFORD COUNTY,2020,28211
Ohio,CUYAHOGA COUNTY,2020,888556
Ohio,DARKE COUNTY,2020,34669
Ohio,DEFIANCE COUNTY,2020,26411
Ohio,DELAWARE COUNTY,2020,151756
Ohio,ERIE COUNTY,2020,54129
Ohio,FAIRFIELD COUNTY,2020,109176
Ohio,FAYETTE COUNTY,2020,17180
Ohio,FRANKLIN COUNTY,2020,882635
Ohio,FULTON COUNTY,2020,29496
Ohio,GALLIA COUNTY,2020,18982
Ohio,GEAUGA COUNTY,2020,67969
Ohio,GREENE COUNTY,2020,118938
Ohio,GUERNSEY COUNTY,2020,24549
Ohio,HAMILTON COUNTY,2020,600386
Ohio,HANCOCK COUNTY,2020,51714
Ohio,HARDIN COUNTY,2020,18211
Ohio,HARRISON COUNTY,2020,10205
Ohio,HENRY COUNTY,2020,19710
Ohio,HIGHLAND COUNTY,2020,27351
Ohio,HOCKING COUNTY,2020,18645
Ohio,HOLMES COUNTY,2020,18286
Ohio,HURON COUNTY,2020,36886
Ohio,JACKSON COUNTY,2020,21013
Ohio,JEFFERSON COUNTY,2020,48167
Ohio,KNOX COUNTY,2020,42320
Ohio,LAKE COUNTY,2020,163936
Ohio,LAWRENCE COUNTY,2020,44119
Ohio,LICKING COUNTY,2020,124208
Ohio,LOGAN COUNTY,2020,32218
Ohio,LORAIN COUNTY,2020,218501
Ohio,LUCAS COUNTY,2020,299794
