,,repturnout,repturnout,repturnout,gop,gop,gop,AGE18PLUS_TOT,AGE18PLUS_TOT,AGE18PLUS_TOT
Georgia,BANKS COUNTY,0.38943846377654934,0.4346655328798186,0.5207776590058792,5354,6134,7795,13748,14112,14968
Georgia,BARROW COUNTY,0.3688855617501625,0.37338144767565273,0.4335813652539631,18725,21108,26804,50761,56532,61820
Georgia,BARTOW COUNTY,0.36170814099026954,0.38441568456091196,0.4591758382390581,26876,29911,37674,74303,77809,82047
Georgia,BEN HILL COUNTY,0.2618148176701873,0.290746500777605,0.32606108687028956,3396,3739,4110,12971,12860,12605
Georgia,BERRIEN COUNTY,0.334923928077455,0.37823508894314617,0.43489159891598916,4843,5422,6419,14460,14335,14760
Georgia,BIBB COUNTY,0.21922109477935012,0.20856538107878347,0.22910005946174197,25623,24043,26585,116882,115278,116041
Georgia,BLECKLEY COUNTY,0.3576984443558037,0.36375195618153366,0.42011259949524365,3587,3719,4328,10028,10224,10302
Georgia,BRANTLEY COUNTY,0.35880014456089626,0.39752927734932875,0.4761288565007151,4964,5567,6991,13835,14004,14683
Georgia,BROOKS COUNTY,0.2936704676912907,0.30155626171270267,0.35142715723477974,3554,3701,4260,12102,12273,12122
Georgia,BRYAN COUNTY,0.4181428508944583,0.41608377790950407,0.509096107795132,9560,10529,14244,22863,25305,27979
Georgia,BULLOCH COUNTY,0.24182761209308673,0.25285142445609393,0.28795163740583546,14174,15097,18386,58612,59707,63851
Georgia,BURKE COUNTY,0.2555707409828273,0.26968113853359754,0.32449972958355866,4301,4491,5400,16829,16653,16641
Georgia,BUTTS COUNTY,0.34408250122769685,0.35780109732062004,0.42383905611859024,6306,6717,8406,18327,18773,19833
Georgia,CALHOUN COUNTY,0.166384021104202,0.15906477577615946,0.1795370550476561,883,830,923,5307,5218,5141
Georgia,CAMDEN COUNTY,0.29825668533564725,0.3105214035264738,0.36764457729672395,11343,12310,15251,38031,39643,41483
Georgia,CANDLER COUNTY,0.28388034395058737,0.328159645232816,0.38645614900703096,2344,2664,3133,8257,8118,8107
Georgia,CARROLL COUNTY,0.3380429845322623,0.340754609929078,0.4087384252947528,28280,30029,37476,83658,88125,91687
Georgia,CATOOSA COUNTY,0.3641145886430829,0.41139839192810973,0.48108500755070444,17858,20876,25167,49045,50744,52313
