,,turnout,turnout,turnout,winner,winner,winner,AGE18PLUS_TOT,AGE18PLUS_TOT,AGE18PLUS_TOT
year,,2012,2016,2020,2012,2016,2020,2012,2016,2020
Florida,WASHINGTON COUNTY,0.5606014271151886,0.5698814875357581,0.6043239533287578,red,red,red,19620,19576,20398
Georgia,APPLING COUNTY,0.5155704307334109,0.5074540454479665,0.6012398183521949,red,red,red,13744,13818,13873
Georgia,ATKINSON COUNTY,0.49178105405863415,0.4356534802203305,0.5236514522821577,red,red,red,5901,5991,6025
Georgia,BACON COUNTY,0.47723685807939786,0.4798854005013728,0.5603168887288441,red,red,red,8237,8377,8331
Georgia,BAKER COUNTY,0.611388995767603,0.5614035087719298,0.6354720065386187,blue,red,red,2599,2565,2447
Georgia,BALDWIN COUNTY,0.4342988579528738,0.4408819828199376,0.4986339544287197,blue,blue,blue,37389,36554,36602
Georgia,BANKS COUNTY,0.45061099796334014,0.4942602040816326,0.5879877071084981,red,red,red,13748,14112,14968
Georgia,BARROW COUNTY,0.4964244203226887,0.5140451425741173,0.6134098997088321,red,red,red,50761,56532,61820
Georgia,BARTOW COUNTY,0.48183788003176187,0.5082959554807285,0.6150986629614733,red,red,red,74303,77809,82047
Georgia,BEN HILL COUNTY,0.45917816667951583,0.4615863141524106,0.5204284014280047,red,red,red,12971,12860,12605
Georgia,BERRIEN COUNTY,0.4288381742738589,0.4597139867457272,0.5245934959349593,red,red,red,14460,14335,14760
Georgia,BIBB COUNTY,0.5537037353912493,0.5430003990353753,0.6101464137675476,blue,blue,blue,116882,115278,116041
Georgia,BLECKLEY COUNTY,0.48932987634623054,0.4865023474178404,0.5538730343622598,red,red,red,10028,10224,10302
Georgia,BRANTLEY COUNTY,0.4338272497289483,0.4499428734647244,0.5275488660355513,red,red,red,13835,14004,14683
Georgia,BROOKS COUNTY,0.5570980003305239,0.5162551943290149,0.5857119287246328,red,red,red,12102,12273,12122
Georgia,BRYAN COUNTY,0.5884179678957268,0.5996048211815846,0.7627148933128418,red,red,red,22863,25305,27979
Georgia,BULLOCH COUNTY,0.4109226779499079,0.42400388564154956,0.471159418020078,red,red,red,58612,59707,63851
Georgia,BURKE COUNTY,0.5810802780913898,0.5615204467663484,0.6420287242353224,blue,blue,red,16829,16653,16641
Georgia,BUTTS COUNTY,0.5118677361270257,0.5067916688861663,0.5935057732062724,red,red,red,18327,18773,19833
Georgia,CALHOUN COUNTY,0.4122856604484643,0.38807972403219626,0.42676522077416845,blue,blue,blue,5307,5218,5141
Georgia,CAMDEN COUNTY,0.4728510951592122,0.476780263854905,0.5710290962562977,red,red,red,38031,39643,41483
Georgia,CANDLER COUNTY,0.42727382826692506,0.4635378171963538,0.5465646971752807,red,red,red,8257,8118,8107
Georgia,CARROLL COUNTY,0.49665303975710634,0.500663829787234,0.5941300293389467,red,red,red,83658,88125,91687
Georgia,CATOOSA COUNTY,0.48278111938016105,0.527293867255242,0.6230382505304609,red,red,red,49045,50744,52313
Georgia,CHARLTON COUNTY,0.35004184878638517,0.385894109733833,0.41755829903978053,red,red,red,10753,10407,10935
Georgia,CHATHAM COUNTY,0.5055004374290342,0.4972861273214254,0.5824064535279635,blue,blue,blue,214892,225508,229084
Georgia,CHATTAHOOCHEE COUNTY,0.16659212880143112,0.17523953605648007,0.18728542677873802,red,red,red,8944,7932,8447
Georgia,CHATTOOGA COUNTY,0.39342118499144957,0.4276755636175175,0.5221321695760599,red,red,red,19882,19295,19248
Georgia,CHEROKEE COUNTY,0.6083617218953237,0.6210533900935657,0.7355099511962258,red,red,red,161450,180408,196911
Georgia,CLARKE COUNTY,0.40771227439375424,0.4367407580039036,0.482775160116243,blue,blue,blue,99011,102981,106329
Georgia,CLAY COUNTY,0.5764802631578947,0.5389500423370025,0.6270222999562746,blue,blue,blue,2432,2362,2287
Georgia,CLAYTON COUNTY,0.5050203970056355,0.46380568500232255,0.5308409801827684,blue,blue,blue,190224,200211,211634
Georgia,CLINCH COUNTY,0.5005061753391374,0.4916883637091929,0.5776522791448164,red,red,red,4939,4993,4958
Georgia,COBB COUNTY,0.5858883941138352,0.5840050417853851,0.6751115767166012,red,blue,blue,529309,566466,583231
Georgia,COFFEE COUNTY,0.4489656457725042,0.42975385280583095,0.46514614161672985,red,red,red,32194,32379,32708
Georgia,COLQUITT COUNTY,0.3986241962015852,0.40836880282956656,0.474298858710077,red,red,red,33435,33362,33909
Georgia,COLUMBIA COUNTY,0.6062286513848306,0.5905914763190542,0.6865149010854192,red,red,red,97196,109624,117374
Georgia,COOK COUNTY,0.48696003229713364,0.47719215315528246,0.54341109222926,red,red,red,12385,12693,12946
Georgia,COWETA COUNTY,0.5789632748342991,0.5870301002072598,0.6811139195601082,red,red,red,95956,105182,112755
Georgia,CRAWFORD COUNTY,0.5268397824078825,0.5349317899958661,0.6164259016062229,red,red,red,9743,9676,9899
Georgia,CRISP COUNTY,0.41707550893813794,0.4348983963411104,0.47229892485752895,red,red,red,17733,17273,17021
Georgia,DADE COUNTY,0.4595770669516757,0.477363107984093,0.5706171323303654,red,red,red,13099,13076,13028
Georgia,DAWSON COUNTY,0.5836371923427529,0.6275001333404449,0.77116002493646,red,red,red,17552,18749,20853
Georgia,DECATUR COUNTY,0.5107160253287871,0.5120724846915916,0.5814662932586517,red,red,red,20530,20087,19996
Georgia,DEKALB COUNTY,0.564759272201559,0.5511397263536111,0.6338876656500868,blue,blue,blue,542293,571102,584968
