,,total,total,total,dem,dem,dem,gop,gop,gop,AGE18PLUS_TOT,AGE18PLUS_TOT,AGE18PLUS_TOT,turnout,turnout,turnout,winner,winner,winner,repturnout,repturnout,repturnout,demturnout,demturnout,demturnout
Florida,BAY COUNTY,79861,87453,93024,22051,21797,25614,56876,62194,66097,134691,143792,138722,0.5929200911716447,0.6081909981083787,0.6705785672063551,red,red,red,0.42227023334892455,0.4325275397796818,0.4764709274664437,0.16371546725467923,0.15158701457661067,0.18464266662822046
Florida,BRADFORD COUNTY,11635,12098,13632,3325,2924,3160,8219,8913,10334,21518,21360,22730,0.5407101031694396,0.5663857677902622,0.5997360316761988,red,red,red,0.38195928989683053,0.4172752808988764,0.4546414430268368,0.15452179570592062,0.13689138576779025,0.13902331720193578
Florida,BREVARD COUNTY,285559,314752,360764,122993,119679,148549,159300,181848,207883,442332,469858,492787,0.6455761735528969,0.669887497924905,0.7320891176106512,red,red,red,0.3601367298771059,0.38702757003179683,0.4218516316380099,0.2780558494524475,0.25471312609341545,0.30144666965646416
Florida,BROWARD COUNTY,756422,831951,957672,508312,553320,618752,244101,260951,333409,1417997,1503029,1542553,0.5334440058758939,0.5535162661532146,0.620835718448572,blue,blue,blue,0.17214493401608044,0.1736167432564508,0.21614103372785246,0.3584718444397273,0.3681366094732703,0.4011220360013562
Florida,CALHOUN COUNTY,6152,6081,6526,1664,1241,1209,4366,4655,5274,11553,11361,11296,0.5325023803341123,0.5352521785054133,0.5777266288951841,red,red,red,0.3779104994373756,0.4097350585335798,0.46689093484419264,0.14403185319830347,0.1092333421353754,0.10702903682719547
Florida,CHARLOTTE COUNTY,84682,96374,116340,35906,33445,42273,47996,60218,73243,140504,155315,166579,0.6027017024426351,0.6205067121655989,0.6984073622725554,red,red,red,0.34159881569207995,0.38771528828509805,0.43968927655947027,0.2555514433752776,0.21533657405917006,0.25377148380047904
Florida,CITRUS COUNTY,73935,79700,93208,28460,22789,27092,44662,54456,65352,117846,121666,127662,0.6273865892775317,0.6550720825867539,0.7301154611395717,red,red,red,0.3789861344466507,0.44758601416994065,0.511914273628801,0.24150162075929604,0.18730787565959264,0.2122166345506102
Florida,CLAY COUNTY,96589,106483,124405,25759,27822,38317,70022,74963,84480,145151,157749,168898,0.6654380610536613,0.6750153725221713,0.7365688166822579,red,red,red,0.48240797514312683,0.47520428021730726,0.5001835427299317,0.17746346907703012,0.17636878839168552,0.22686473492877357
Florida,COLLIER COUNTY,149112,170789,207818,51698,61085,77621,96520,105423,128950,269563,300908,320147,0.5531619695581367,0.5675787948475947,0.6491330545030877,red,red,red,0.358061009856694,0.35034960851821817,0.4027837212280609,0.191784480807826,0.2030022465338243,0.24245424758001793
Florida,COLUMBIA COUNTY,27163,28707,33042,8462,7601,8914,18429,20368,23836,53038,53985,56246,0.5121422376409367,0.5317588218949708,0.5874551079187853,red,red,red,0.34746785323730156,0.37728998795961843,0.42378124666642963,0.1595459858969041,0.1407983699175697,0.15848238096931339
Florida,DESOTO COUNTY,9865,10818,12659,4174,3781,4259,5587,6778,8313,27500,29152,30849,0.35872727272727273,0.371089462129528,0.4103536581412688,red,red,red,0.20316363636363635,0.23250548847420416,0.2694738889429155,0.15178181818181818,0.12969950603732164,0.13805958053745665
Florida,DIXIE COUNTY,6941,7202,8167,1798,1270,1365,5052,5822,6759,13068,13422,13753,0.5311447811447811,0.5365817314856206,0.5938340725659856,red,red,red,0.38659320477502296,0.43376545969304126,0.4914564095106522,0.13758800122436485,0.0946207718670839,0.0992510724932742
Florida,DUVAL COUNTY,411848,432695,492820,196737,205704,252556,211615,211672,233762,676813,715756,742007,0.6085107703309481,0.6045286382510241,0.6641716318040126,red,red,blue,0.3126639115974427,0.2957320651171628,0.31504015460770585,0.2906814733168541,0.2873940281324921,0.3403687566289806
