state,county,year,total,dem,gop,AGE18PLUS_TOT,repturnout,demturnout,turnout,winner,dem_per,gop_per,reg_voters,turnout_reg,turnout_rep_reg,turnout_dem_reg,,,,,,
Georgia,HARRIS COUNTY,2020,19991,5457,14319,27721,0.516539807,0.19685437,0.721150031,red,0.272972838,0.716272323,25690,0.778162709,0.557376411,0.212417283,,,,,,
Ohio,TUSCARAWAS COUNTY,2020,42794,12643,29519,70996,0.415783988,0.178080455,0.602766353,red,0.295438613,0.689792962,59638,0.717562628,0.49496965,0.211995707,,,,,,
North Carolina,LINCOLN COUNTY,2020,50217,13274,36341,67981,0.534575837,0.19526044,0.738691693,red,0.264332796,0.723679232,62638,0.801701842,0.580174974,0.211916089,,,,,,
Georgia,SEMINOLE COUNTY,2020,3884,1254,2611,6406,0.407586638,0.195753981,0.606306588,red,0.322863028,0.672245108,5937,0.654202459,0.439784403,0.211217787,,,,,,
Michigan,HURON COUNTY,2020,18437,5490,12731,25035,0.508528061,0.21929299,0.736448971,red,0.297770787,0.690513641,26141,0.70529054,0.487012739,0.210014919,,,,,,
Georgia,LONG COUNTY,2020,5656,2033,3528,14239,0.247770209,0.14277688,0.397218906,red,0.359441301,0.623762376,9683,0.584116493,0.364349892,0.209955592,,,,,,
Georgia,EMANUEL COUNTY,2020,9501,2884,6551,17032,0.384628934,0.169328323,0.557832316,red,0.303546995,0.689506368,13844,0.68629009,0.473201387,0.208321294,,,,,,
Ohio,RICHLAND COUNTY,2020,58601,17231,40534,95049,0.426453724,0.181285442,0.61653463,red,0.294039351,0.691694681,82754,0.708134954,0.489813181,0.208219542,,,,,,
Florida,PUTNAM COUNTY,2020,36373,10527,25514,58753,0.434258676,0.179173829,0.619083281,red,0.289417975,0.701454375,50692,0.717529393,0.503314132,0.207665904,,,,,,
Pennsylvania,FOREST COUNTY,2020,2646,728,1882,6468,0.290970934,0.112554113,0.409090909,red,0.275132275,0.711262283,3509,0.754060986,0.536335138,0.207466515,,,,,,
Georgia,MONROE COUNTY,2020,15592,4384,11060,21985,0.503070275,0.199408688,0.709210826,red,0.281169831,0.709338122,21151,0.737175547,0.522906718,0.207271524,,,,,,
Ohio,HURON COUNTY,2020,26633,7643,18537,44289,0.418546366,0.172571067,0.601345707,red,0.286974806,0.69601622,36886,0.722035461,0.502548392,0.207205986,,,,,,
Pennsylvania,SNYDER COUNTY,2020,19140,4910,13983,32022,0.43666854,0.153332084,0.597714072,red,0.256530825,0.730564263,23702,0.807526791,0.589950215,0.207155514,,,,,,
Michigan,GLADWIN COUNTY,2020,14603,4524,9893,20722,0.477415307,0.218318695,0.70470997,red,0.309799356,0.677463535,21851,0.668298934,0.452748158,0.207038579,,,,,,
North Carolina,ONSLOW COUNTY,2020,72235,24266,46078,149343,0.308538063,0.162485018,0.483685208,red,0.335931335,0.637890219,117223,0.61621866,0.393079856,0.207007157,,,,,,
Michigan,OTSEGO COUNTY,2020,14756,4743,9779,19545,0.500332566,0.24267076,0.754975697,red,0.321428571,0.662713472,22945,0.643103073,0.42619307,0.206711702,,,,,,
Michigan,CLARE COUNTY,2020,16281,5199,10861,24807,0.43781997,0.209577942,0.656306688,red,0.31932928,0.667096616,25154,0.647252922,0.431780234,0.206686809,,,,,,
Florida,LEVY COUNTY,2020,23145,6205,16749,33437,0.500912163,0.185572868,0.692197267,red,0.268092461,0.723655217,30099,0.768962424,0.55646367,0.206153028,,,,,,
Ohio,HOCKING COUNTY,2020,13595,3836,9554,22123,0.431858247,0.173394205,0.614518827,red,0.28216256,0.702758367,18645,0.729149906,0.512416197,0.205738804,,,,,,
Florida,BAY COUNTY,2020,93024,25614,66097,138722,0.476470927,0.184642667,0.670578567,red,0.275348297,0.710537066,124653,0.746263628,0.530247968,0.205482419,,,,,,
Michigan,CASS COUNTY,2020,26213,9130,16699,41124,0.406064585,0.222011477,0.637413676,red,0.348300462,0.637050319,44434,0.589931134,0.375815817,0.205473286,,,,,,
Arizona,LA PAZ COUNTY,2020,7458,2236,5129,17602,0.291387342,0.127031019,0.423701852,red,0.299812282,0.687717887,10909,0.683655697,0.470162251,0.204968375,,,,,,
Georgia,WARE COUNTY,2020,14192,4211,9865,27062,0.364533294,0.155605646,0.524425394,red,0.29671646,0.695109921,20580,0.689601555,0.479348882,0.204616132,,,,,,
Ohio,MIAMI COUNTY,2020,56868,15420,40531,82435,0.491672227,0.187056469,0.689852611,red,0.271154252,0.712720687,75470,0.753517954,0.537047834,0.204319597,,,,,,
Michigan,TUSCOLA COUNTY,2020,29442,8712,20297,41651,0.487311229,0.209166647,0.706873785,red,0.295903811,0.689389308,42707,0.689395181,0.475261667,0.203994661,,,,,,
Ohio,JEFFERSON COUNTY,2020,32631,9823,22309,52808,0.422454931,0.186013483,0.61791774,red,0.30103276,0.683675033,48167,0.677455519,0.463159425,0.203936305,,,,,,
Michigan,DICKINSON COUNTY,2020,14589,4744,9617,20178,0.476608187,0.235107543,0.723015165,red,0.325176503,0.659195284,23280,0.626675258,0.413101375,0.203780069,,,,,,
Michigan,MONTCALM COUNTY,2020,32086,9703,21815,49856,0.437560173,0.194620507,0.643573492,red,0.302406034,0.679891541,47629,0.673665204,0.458019274,0.203720422,,,,,,
Pennsylvania,CAMERON COUNTY,2020,2434,634,1771,3661,0.48374761,0.173176728,0.664845671,red,0.260476582,0.727608874,3113,0.781882429,0.568904594,0.203662062,,,,,,
Arizona,GRAHAM COUNTY,2020,14995,4034,10749,28485,0.377356503,0.141618396,0.526417413,red,0.269023008,0.716838946,19851,0.755377563,0.541484056,0.203213944,,,,,,
Georgia,LAMAR COUNTY,2020,9039,2615,6330,15106,0.419038793,0.173110023,0.598371508,red,0.289301914,0.700298706,12872,0.702221877,0.491765071,0.203154133,,,,,,
Ohio,HENRY COUNTY,2020,14483,3995,10273,20758,0.494893535,0.192455921,0.697706908,red,0.275840641,0.709314369,19710,0.734804668,0.521207509,0.20268899,,,,,,
Ohio,ALLEN COUNTY,2020,46375,13611,32052,78859,0.40644695,0.172599196,0.588074919,red,0.293498652,0.691148248,67374,0.688321905,0.475732478,0.202021551,,,,,,
Florida,COLUMBIA COUNTY,2020,33042,8914,23836,56246,0.423781247,0.158482381,0.587455108,red,0.269777858,0.721384904,44239,0.746897534,0.538800606,0.201496417,,,,,,
Ohio,MARION COUNTY,2020,27126,8089,18526,51391,0.360491137,0.157401101,0.527835613,red,0.298200988,0.682960997,40262,0.673737023,0.460136108,0.200909046,,,,,,
Georgia,CANDLER COUNTY,2020,4431,1269,3133,8107,0.386456149,0.156531393,0.546564697,red,0.286391334,0.707063868,6328,0.700221239,0.495101138,0.200537295,,,,,,
Ohio,KNOX COUNTY,2020,30712,8433,21825,48217,0.452641185,0.174896821,0.636953771,red,0.274583225,0.71063428,42320,0.725708885,0.515713611,0.199267486,,,,,,
North Carolina,DAVIDSON COUNTY,2020,88514,22636,64658,131285,0.492501047,0.172418784,0.674212591,red,0.255733556,0.730483313,113790,0.777871518,0.568222164,0.19892785,,,,,,
Ohio,COLUMBIANA COUNTY,2020,49068,13183,35124,81291,0.432077352,0.162170474,0.603609256,red,0.268667971,0.71582294,66293,0.740168645,0.529829695,0.198859608,,,,,,
North Carolina,RUTHERFORD COUNTY,2020,34429,9135,24891,53422,0.465931639,0.170996968,0.644472315,red,0.265328647,0.722966104,45949,0.749287253,0.541709286,0.198807373,,,,,,
Georgia,LEE COUNTY,2020,16714,4558,12007,22122,0.542762861,0.206039237,0.755537474,red,0.272705516,0.718379801,22930,0.728914086,0.523637157,0.198778892,,,,,,
Michigan,NEWAYGO COUNTY,2020,27156,7873,18857,38030,0.495845385,0.207020773,0.714067841,red,0.289917514,0.694395345,39611,0.68556714,0.476054631,0.198757921,,,,,,
Pennsylvania,PERRY COUNTY,2020,24652,5950,18293,36410,0.502416918,0.163416644,0.67706674,red,0.241359727,0.742049327,30036,0.820748435,0.609035824,0.198095619,,,,,,
Georgia,FLOYD COUNTY,2020,41648,12008,29123,75897,0.383717406,0.158214422,0.548743692,red,0.288321168,0.699265271,60749,0.685575071,0.479398838,0.197665805,,,,,,
Ohio,PICKAWAY COUNTY,2020,27589,7167,20059,46036,0.435724216,0.155682509,0.599291859,red,0.259777448,0.727065135,36306,0.759901945,0.55249821,0.197405388,,,,,,
Pennsylvania,MCKEAN COUNTY,2020,19427,5076,14067,32567,0.431940308,0.155863297,0.596524089,red,0.261285839,0.724095331,25854,0.751411774,0.544093757,0.196333256,,,,,,
Michigan,ST. JOSEPH COUNTY,2020,27935,9262,18127,46253,0.391909714,0.20024647,0.603960824,red,0.331555396,0.64889923,47227,0.59150486,0.383827048,0.196116628,,,,,,
Florida,OKEECHOBEE COUNTY,2020,15954,4390,11470,33207,0.3454091,0.132201042,0.480440871,red,0.275166103,0.718941958,22394,0.71242297,0.512190765,0.196034652,,,,,,
North Carolina,ALLEGHANY COUNTY,2020,6076,1486,4527,9249,0.48945832,0.160666018,0.656935885,red,0.244568795,0.745062541,7609,0.798528059,0.594953345,0.195295045,,,,,,
Florida,GLADES COUNTY,2020,5193,1385,3782,11823,0.31988497,0.117144549,0.439228622,red,0.26670518,0.72828808,7097,0.731717627,0.532901226,0.195152881,,,,,,
North Carolina,MCDOWELL COUNTY,2020,23003,5832,16883,36617,0.461069995,0.159270284,0.628205478,red,0.253532148,0.733947746,29898,0.769382567,0.564686601,0.195063215,,,,,,
Michigan,OGEMAW COUNTY,2020,11907,3475,8253,17100,0.482631579,0.203216374,0.696315789,red,0.291845133,0.693121693,17816,0.668331837,0.463235294,0.195049394,,,,,,
Georgia,WHITFIELD COUNTY,2020,36746,10670,25636,77675,0.330041841,0.137367235,0.473073705,red,0.290371741,0.697654166,54779,0.670804505,0.467989558,0.194782672,,,,,,
Georgia,HALL COUNTY,2020,90523,25031,64170,153638,0.417670108,0.162921933,0.589196683,red,0.276515361,0.708880616,128535,0.70426732,0.499241452,0.194740732,,,,,,
Ohio,BELMONT COUNTY,2020,32501,9011,23110,54437,0.424527435,0.165530797,0.597038779,red,0.277253008,0.711055044,46315,0.701738098,0.498974414,0.194558998,,,,,,
Georgia,CARROLL COUNTY,2020,54474,16238,37476,91687,0.408738425,0.177102534,0.594130029,red,0.298087161,0.687961229,83866,0.649536165,0.446855698,0.193618391,,,,,,
Georgia,COOK COUNTY,2020,7035,2059,4900,12946,0.378495288,0.159045265,0.543411092,red,0.29267946,0.696517413,10650,0.66056338,0.460093897,0.193333333,,,,,,
Pennsylvania,WARREN COUNTY,2020,20650,6066,14237,31628,0.450139117,0.191792083,0.652902491,red,0.293753027,0.689443099,31432,0.656973785,0.452946042,0.192988038,,,,,,
Pennsylvania,CLEARFIELD COUNTY,2020,39124,9598,28984,64899,0.446601643,0.147891339,0.60284442,red,0.245322564,0.740824047,49734,0.786665058,0.582780392,0.192986689,,,,,,
Ohio,SCIOTO COUNTY,2020,31149,8876,21926,59037,0.37139421,0.150346393,0.527618273,red,0.284952968,0.703907028,46120,0.675390286,0.475411969,0.192454467,,,,,,
North Carolina,CURRITUCK COUNTY,2020,16147,4195,11657,21675,0.537808535,0.193540946,0.744959631,red,0.259800582,0.72192977,21832,0.739602418,0.533941004,0.192149139,,,,,,
Pennsylvania,CLARION COUNTY,2020,19493,4678,14578,31247,0.466540788,0.149710372,0.623835888,red,0.239983584,0.747858206,24401,0.798860702,0.597434531,0.191713454,,,,,,
Pennsylvania,HUNTINGDON COUNTY,2020,22792,5445,17061,37218,0.458407222,0.146300177,0.612391853,red,0.238899614,0.748552124,28430,0.801688357,0.600105522,0.191523039,,,,,,
Georgia,MILLER COUNTY,2020,2835,749,2066,4410,0.468480726,0.16984127,0.642857143,red,0.264197531,0.728747795,3920,0.723214286,0.527040816,0.191071429,,,,,,
Georgia,BUTTS COUNTY,2020,11771,3274,8406,19833,0.423839056,0.165078405,0.593505773,red,0.278141194,0.714127942,17195,0.684559465,0.488863042,0.190404187,,,,,,
Michigan,MONTMORENCY COUNTY,2020,5859,1628,4171,7948,0.52478611,0.204831404,0.737166583,red,0.277863117,0.711896228,8553,0.685022799,0.487665147,0.19034257,,,,,,
Georgia,DODGE COUNTY,2020,8070,2171,5843,16643,0.351078532,0.130445232,0.484888542,red,0.269021066,0.724039653,11464,0.703942777,0.509682484,0.189375436,,,,,,
Florida,SANTA ROSA COUNTY,2020,106928,27612,77385,144119,0.536952102,0.191591671,0.741942423,red,0.258229837,0.723711282,145810,0.733337905,0.530724916,0.189369728,,,,,,
Michigan,SANILAC COUNTY,2020,22446,5966,16194,32362,0.500401706,0.184352018,0.693591249,red,0.26579346,0.721464849,31510,0.712345287,0.513932085,0.189336719,,,,,,
North Carolina,STANLY COUNTY,2020,33939,8129,25458,49282,0.516578061,0.164948663,0.688669291,red,0.239517959,0.750110492,42963,0.789958802,0.592556386,0.18920932,,,,,,
Georgia,CRAWFORD COUNTY,2020,6102,1615,4428,9899,0.447317911,0.163147793,0.616425902,red,0.264667322,0.725663717,8536,0.714854733,0.518744142,0.189198688,,,,,,
Georgia,WILCOX COUNTY,2020,3281,862,2403,6998,0.343383824,0.123178051,0.468848242,red,0.262724779,0.732398659,4562,0.719202104,0.526742657,0.188952214,,,,,,
Pennsylvania,ARMSTRONG COUNTY,2020,36356,8453,27479,52371,0.524698784,0.161406122,0.694200989,red,0.232506326,0.755831225,44826,0.81104716,0.613014768,0.188573596,,,,,,
North Carolina,CAMDEN COUNTY,2020,5953,1537,4312,8407,0.512905912,0.182823837,0.708100393,red,0.258189148,0.724340669,8167,0.728909024,0.52797845,0.1881964,,,,,,
Michigan,KALKASKA COUNTY,2020,10630,3002,7436,14343,0.518441051,0.209300704,0.741128076,red,0.282408278,0.699529633,15966,0.665789803,0.465739697,0.188024552,,,,,,
Georgia,BARROW COUNTY,2020,37921,10453,26804,61820,0.433581365,0.169087674,0.6134099,red,0.275652013,0.7068379,55694,0.680881244,0.481272669,0.187686286,,,,,,
North Carolina,CALDWELL COUNTY,2020,42829,10245,32119,65842,0.487819325,0.155599769,0.650481456,red,0.239207079,0.749935791,54780,0.781836437,0.586327127,0.187020811,,,,,,
Ohio,CHAMPAIGN COUNTY,2020,19339,4946,14086,30220,0.466115156,0.163666446,0.639940437,red,0.255752624,0.728372718,26492,0.72999396,0.531707685,0.186697871,,,,,,
Georgia,HART COUNTY,2020,12727,3157,9464,20783,0.455372179,0.151902998,0.612375499,red,0.248055315,0.743615935,16942,0.751210011,0.558611734,0.186341636,,,,,,
North Carolina,CLAY COUNTY,2020,6893,1699,5112,9352,0.546621044,0.18167237,0.737061591,red,0.246481938,0.741621935,9131,0.754900887,0.559851057,0.186069434,,,,,,
