,year,state,state_po,county,total,dem,gop,AGE18PLUS_TOT
323,2012,Michigan,MI,WEXFORD COUNTY,14853,6184,8450,24831
324,2012,North Carolina,NC,ALAMANCE COUNTY,67776,28875,38170,117900
325,2012,North Carolina,NC,ALEXANDER COUNTY,17196,4611,12253,28866
326,2012,North Carolina,NC,ALLEGHANY COUNTY,5067,1583,3390,8838
327,2012,North Carolina,NC,ANSON COUNTY,11256,7019,4166,20765
328,2012,North Carolina,NC,ASHE COUNTY,12610,4116,8242,21840
329,2012,North Carolina,NC,AVERY COUNTY,7759,1882,5766,14676
330,2012,North Carolina,NC,BEAUFORT COUNTY,23620,9435,13977,37225
331,2012,North Carolina,NC,BERTIE COUNTY,10123,6695,3387,16448
332,2012,North Carolina,NC,BLADEN COUNTY,15957,8062,7748,27039
333,2012,North Carolina,NC,BRUNSWICK COUNTY,57362,22038,34743,91863
334,2012,North Carolina,NC,BUNCOMBE COUNTY,127696,70625,54701,194974
335,2012,North Carolina,NC,BURKE COUNTY,36544,13701,22267,70988
336,2012,North Carolina,NC,CABARRUS COUNTY,83566,32849,49557,134970
337,2012,North Carolina,NC,CALDWELL COUNTY,34732,10898,23229,64303
338,2012,North Carolina,NC,CAMDEN COUNTY,4704,1508,3109,7552
339,2012,North Carolina,NC,CARTERET COUNTY,35517,10301,24775,55079
340,2012,North Carolina,NC,CASWELL COUNTY,11039,5348,5594,18589
341,2012,North Carolina,NC,CATAWBA COUNTY,69601,24069,44538,118754
342,2012,North Carolina,NC,CHATHAM COUNTY,35434,18361,16665,50830
343,2012,North Carolina,NC,CHEROKEE COUNTY,12867,3378,9278,22042
344,2012,North Carolina,NC,CHOWAN COUNTY,7505,3556,3891,11534
345,2012,North Carolina,NC,CLAY COUNTY,5642,1579,3973,8681
346,2012,North Carolina,NC,CLEVELAND COUNTY,43340,17062,25793,75212
347,2012,North Carolina,NC,COLUMBUS COUNTY,24243,11050,12941,44504
348,2012,North Carolina,NC,CRAVEN COUNTY,46170,18763,26928,81092
349,2012,North Carolina,NC,CUMBERLAND COUNTY,127641,75792,50666,244749
350,2012,North Carolina,NC,CURRITUCK COUNTY,11304,3562,7496,18542
351,2012,North Carolina,NC,DARE COUNTY,17974,7393,10248,27518
352,2012,North Carolina,NC,DAVIDSON COUNTY,70935,20624,49383,125213
353,2012,North Carolina,NC,DAVIE COUNTY,20670,5735,14687,31958
354,2012,North Carolina,NC,DUPLIN COUNTY,20592,9033,11416,44564
355,2012,North Carolina,NC,DURHAM COUNTY,146735,111224,33769,220075
356,2012,North Carolina,NC,EDGECOMBE COUNTY,26972,18310,8546,42339
357,2012,North Carolina,NC,FORSYTH COUNTY,174069,92323,79768,271998
358,2012,North Carolina,NC,FRANKLIN COUNTY,28389,13436,14603,46850
359,2012,North Carolina,NC,GASTON COUNTY,90483,33171,56138,158974
360,2012,North Carolina,NC,GATES COUNTY,5396,2786,2564,9261
361,2012,North Carolina,NC,GRAHAM COUNTY,3947,1119,2750,6843
362,2012,North Carolina,NC,GRANVILLE COUNTY,26275,13598,12405,44820
363,2012,North Carolina,NC,GREENE COUNTY,8236,3778,4411,16451
364,2012,North Carolina,NC,GUILFORD COUNTY,253852,146365,104789,385564
365,2012,North Carolina,NC,HALIFAX COUNTY,26079,17176,8763,41791
366,2012,North Carolina,NC,HARNETT COUNTY,43415,17331,25565,88695
367,2012,North Carolina,NC,HAYWOOD COUNTY,27974,11833,15633,47541
368,2012,North Carolina,NC,HENDERSON COUNTY,52392,18642,32994,85989
369,2012,North Carolina,NC,HERTFORD COUNTY,10918,7843,3007,19647
370,2012,North Carolina,NC,HOKE COUNTY,17089,10076,6819,35599
371,2012,North Carolina,NC,HYDE COUNTY,2383,1163,1193,4645
372,2012,North Carolina,NC,IREDELL COUNTY,76365,26076,49299,122765
373,2012,North Carolina,NC,JACKSON COUNTY,16701,8095,8254,33521
374,2012,North Carolina,NC,JOHNSTON COUNTY,76691,27290,48427,127035
375,2012,North Carolina,NC,JONES COUNTY,5230,2352,2837,8050
376,2012,North Carolina,NC,LEE COUNTY,24239,10801,13158,43868
377,2012,North Carolina,NC,LENOIR COUNTY,28086,13948,13980,45271
378,2012,North Carolina,NC,LINCOLN COUNTY,36775,11024,25267,60850
379,2012,North Carolina,NC,MCDOWELL COUNTY,18099,6031,11775,35396
